INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../sgm_kernel-tb.cpp in debug mode
   Compiling ../../../sgm_kernel.cpp in debug mode
   Generating csim.exe
Descriptor decimal = 240
Descriptor binary  = 11110000
Frame 000166, D1 = 31.4107 %, MAE = 2.96254 px, Bad1 = 72.6946 %, Bad3 = 27.5068 %
Frame 000167, D1 = 40.0063 %, MAE = 3.40662 px, Bad1 = 71.443 %, Bad3 = 35.7383 %
Frame 000168, D1 = 34.8972 %, MAE = 4.85825 px, Bad1 = 73.3068 %, Bad3 = 31.6959 %
Frame 000169, D1 = 44.1796 %, MAE = 5.61958 px, Bad1 = 73.2643 %, Bad3 = 39.5554 %
Frame 000170, D1 = 37.9852 %, MAE = 3.90467 px, Bad1 = 71.7241 %, Bad3 = 34.8457 %
Frame 000171, D1 = 38.8622 %, MAE = 3.57587 px, Bad1 = 74.1676 %, Bad3 = 36.1797 %
Frame 000172, D1 = 22.2399 %, MAE = 2.69938 px, Bad1 = 62.5417 %, Bad3 = 18.5624 %
Frame 000173, D1 = 35.2155 %, MAE = 4.6379 px, Bad1 = 69.2199 %, Bad3 = 30.5262 %
Frame 000174, D1 = 25.6705 %, MAE = 2.64683 px, Bad1 = 61.3455 %, Bad3 = 22.627 %
Frame 000175, D1 = 26.7426 %, MAE = 3.06808 px, Bad1 = 68.2161 %, Bad3 = 25.8613 %
Frame 000176, D1 = 36.0773 %, MAE = 4.3315 px, Bad1 = 75.3726 %, Bad3 = 33.6551 %
Frame 000177, D1 = 32.8208 %, MAE = 2.93331 px, Bad1 = 69.849 %, Bad3 = 30.2647 %
Frame 000178, D1 = 32.4836 %, MAE = 3.10527 px, Bad1 = 72.0103 %, Bad3 = 29.2612 %
Frame 000179, D1 = 30.0304 %, MAE = 2.85932 px, Bad1 = 69.3435 %, Bad3 = 26.1594 %
Frame 000180, D1 = 32.8776 %, MAE = 3.0794 px, Bad1 = 66.9409 %, Bad3 = 29.0796 %
Frame 000181, D1 = 37.2383 %, MAE = 3.30617 px, Bad1 = 70.1732 %, Bad3 = 33.3333 %
Frame 000182, D1 = 30.4224 %, MAE = 3.026 px, Bad1 = 69.972 %, Bad3 = 26.6939 %
Frame 000183, D1 = 25.7407 %, MAE = 2.15699 px, Bad1 = 66.9941 %, Bad3 = 21.05 %
Frame 000184, D1 = 29.6253 %, MAE = 2.8006 px, Bad1 = 65.7936 %, Bad3 = 26.7358 %
Frame 000185, D1 = 26.7118 %, MAE = 2.35979 px, Bad1 = 64.3996 %, Bad3 = 22.2014 %
Frame 000186, D1 = 31.3017 %, MAE = 2.95163 px, Bad1 = 68.5567 %, Bad3 = 27.617 %
Frame 000187, D1 = 33.969 %, MAE = 2.7107 px, Bad1 = 67.1497 %, Bad3 = 30.6868 %
Frame 000188, D1 = 27.9352 %, MAE = 2.91117 px, Bad1 = 64.2916 %, Bad3 = 24.6417 %
Frame 000189, D1 = 29.9524 %, MAE = 2.77028 px, Bad1 = 67.0351 %, Bad3 = 25.4746 %
Frame 000190, D1 = 36.2468 %, MAE = 2.78394 px, Bad1 = 67.3458 %, Bad3 = 32.6406 %
Frame 000191, D1 = 32.3025 %, MAE = 2.561 px, Bad1 = 69.7206 %, Bad3 = 28.4431 %
Frame 000192, D1 = 32.6131 %, MAE = 2.62203 px, Bad1 = 67.295 %, Bad3 = 28.259 %
Frame 000193, D1 = 32.3567 %, MAE = 3.15794 px, Bad1 = 69.7087 %, Bad3 = 30.4383 %
Frame 000194, D1 = 34.8289 %, MAE = 3.3712 px, Bad1 = 69.885 %, Bad3 = 30.0664 %
Frame 000195, D1 = 33.8181 %, MAE = 3.43045 px, Bad1 = 71.5386 %, Bad3 = 29.9338 %
Frame 000196, D1 = 33.9135 %, MAE = 2.94529 px, Bad1 = 70.1696 %, Bad3 = 30.5725 %
Frame 000197, D1 = 36.512 %, MAE = 3.79392 px, Bad1 = 67.311 %, Bad3 = 31.4222 %
Frame 000198, D1 = 41.6309 %, MAE = 3.54238 px, Bad1 = 71.3512 %, Bad3 = 37.9989 %
Frame 000199, D1 = 24.4719 %, MAE = 2.49071 px, Bad1 = 63.9744 %, Bad3 = 19.7756 %

 ---KITTI-style Evaluation --- 
 Mean D1: 33.3456 %
D1 Standard Deviation: 5.96315 %
Minimum D1: 21.2998 % (Frame: 147)
Maximum D1: 78.8422 % (Frame: 104)

 --- HW Valid Evaluation --- 
 Mean MAE: 3.28916 px
MAE Standard Deviation: 1.28 px
Mean Bad >1 px: 70.0266 %
Bad > 1 Standard Deviation: 4.01884 %
Mean Bad >3 px: 29.7603 %
Bad > 3 Standard Deviation: 6.18556 %
Minimum MAE: 1.94362 px (Frame: 128)
Maximum MAE: 17.2596 px (Frame: 104)
Minimum Bad > 1: 58.9293 % (Frame: 147)
Maximum Bad > 1: 93.5169 % (Frame: 104)
Minimum Bad > 3: 18.352 % (Frame: 147)
Maximum Bad > 3: 77.5818 % (Frame: 104)
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
